,Product,Query
644,Rantac 150 Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
658,Rantac 300 Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
673,Rantac Syrup Mint,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
687,Rantac-Dom Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
711,Rantac RD 30mg/20mg Capsule,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
723,Rantac Injection 2ml,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
738,Rantac OD 300 Tablet CR,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
753,Rantac Infant Syrup Mint,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
787,Rantac R Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
799,Rantac Injection 2ml,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
828,Rantac PP 20mg Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
842,Maxx Rantac 150mg Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
867,PAN 40 Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
885,Pantocid Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
907,Pantop 40 Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
926,Pantosec Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
948,Pantodac 40 Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
968,Pantakind Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
989,Topp 40 Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
1012,PAN 20 Tablet,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
1025,Ganaton Total Capsule SR,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
1039,Pantocid IT Capsule SR,"My cough is not getting cured since 4-6 months. Tried some doctors, their medicines work for some time and the dry cough starts again. Though it happens occasionally, but i still cough"
